,total_enrollment,total_price,year,for_profit,private,public,net_cost_0_to_30,net_cost_30_to_48,net_cost_48_to_75,net_cost_75_to_110,net_cost_over_110,state_code,off_campus,on_campus,two_year,four_year,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,asian_enrollment,white_enrollment,black_enrollment,american_indian_alaska_native_enrollment,hispanic_enrollment
8633,2039.0,35000,2018,0.0,1.0,0.0,16178.99425,16638.3046,20180.94828,21542.93103,24341.32184,14,1.0,0.0,0.0,1.0,10164.0,24820,34984,24820,34984,17.0,1862.0,66.0,6.0,21.0
8634,2039.0,34000,2017,0.0,1.0,0.0,15741.72414,16188.62069,19635.51724,20960.68966,23683.44828,14,1.0,0.0,0.0,1.0,10164.0,24820,34984,24820,34984,17.0,1862.0,66.0,6.0,21.0
8635,2039.0,36000,2017,0.0,1.0,0.0,15741.72414,16188.62069,19635.51724,20960.68966,23683.44828,14,0.0,1.0,0.0,1.0,10164.0,24820,34984,24820,34984,17.0,1862.0,66.0,6.0,21.0
8636,2039.0,34800,2016,0.0,1.0,0.0,15217.0,15649.0,18981.0,20262.0,22894.0,14,0.0,1.0,0.0,1.0,10164.0,24820,34984,24820,34984,17.0,1862.0,66.0,6.0,21.0
8637,2039.0,37000,2018,0.0,1.0,0.0,16178.99425,16638.3046,20180.94828,21542.93103,24341.32184,14,0.0,1.0,0.0,1.0,10164.0,24820,34984,24820,34984,17.0,1862.0,66.0,6.0,21.0
8638,2039.0,32800,2016,0.0,1.0,0.0,15217.0,15649.0,18981.0,20262.0,22894.0,14,1.0,0.0,0.0,1.0,10164.0,24820,34984,24820,34984,17.0,1862.0,66.0,6.0,21.0
8639,5613.0,16285,2018,0.0,0.0,1.0,6804.808159,7255.292797,8971.209159,11802.01841,0.0,1,1.0,0.0,1.0,0.0,7580.0,2550,10130,5610,13190,40.0,4256.0,179.0,47.0,823.0
8640,5613.0,15591,2017,0.0,0.0,1.0,6012.0,6410.0,7926.0,10427.0,0.0,1,0.0,1.0,1.0,0.0,7580.0,2550,10130,5610,13190,40.0,4256.0,179.0,47.0,823.0
8641,5613.0,17647,2018,0.0,0.0,1.0,6804.808159,7255.292797,8971.209159,11802.01841,0.0,1,0.0,1.0,1.0,0.0,7580.0,2550,10130,5610,13190,40.0,4256.0,179.0,47.0,823.0
8642,5613.0,15329,2017,0.0,0.0,1.0,6012.0,6410.0,7926.0,10427.0,0.0,1,1.0,0.0,1.0,0.0,7580.0,2550,10130,5610,13190,40.0,4256.0,179.0,47.0,823.0
8643,90.0,69075,2017,0.0,1.0,0.0,20709.16704,0.0,0.0,20196.3608,20324.56236,6,0.0,1.0,0.0,1.0,15050.0,50175,65225,50175,65225,8.0,76.0,0.0,0.0,0.0
8644,90.0,70825,2018,0.0,1.0,0.0,21233.82925,0.0,0.0,20708.03118,20839.4807,6,0.0,1.0,0.0,1.0,15050.0,50175,65225,50175,65225,8.0,76.0,0.0,0.0,0.0
8645,732.0,41394,2018,0.0,1.0,0.0,21110.98109,22594.32772,25884.60423,30415.79675,28286.3109,30,0.0,1.0,0.0,1.0,9150.0,26116,35266,26116,35266,9.0,293.0,147.0,2.0,81.0
